Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,fppg_floor,fppg_ceiling,max_exposure,min_exposure,max_deviation,min_deviation
WR,Jalen Tolbert (40786080),Jalen Tolbert,40786080,WR/FLEX,3600,IND@DAL 11/17/2025 04:00PM ET,DAL,6.059495209340291,0.0,9.089242814010436,100,0,0,0
WR,Joshua Palmer (40786082),Joshua Palmer,40786082,WR/FLEX,3500,BUF@MIA 11/17/2025 12:00PM ET,BUF,13.987088563645678,0.0,20.980632845468516,100,0,0,0
WR,Josh Downs (40786084),Josh Downs,40786084,WR/FLEX,3400,IND@DAL 11/17/2025 04:00PM ET,IND,3.1110393287702807,0.0,4.666558993155421,100,0,0,0
TE,Darren Waller (40786134),Darren Waller,40786134,TE/FLEX,3400,BUF@MIA 11/17/2025 12:00PM ET,MIA,9.765440999094173,0.0,14.648161498641258,100,0,0,0
WR,Tank Dell (40786086),Tank Dell,40786086,WR/FLEX,3300,HOU@GB 11/17/2025 02:00PM ET,HOU,29.496254927034684,0.0,44.244382390552026,100,0,0,0
DST,Packers  (40786162),Packers ,40786162,DST,3300,HOU@GB 11/17/2025 02:00PM ET,GB,5.005253471592676,0.0,7.507880207389014,100,0,0,0
WR,Nick Westbrook-Ikhine (40786088),Nick Westbrook-Ikhine,40786088,WR/FLEX,3200,BUF@MIA 11/17/2025 12:00PM ET,MIA,1.6743555683865687,0.0,2.5115333525798533,100,0,0,0
RB,Jaydon Blue (40786018),Jaydon Blue,40786018,RB/FLEX,3100,IND@DAL 11/17/2025 04:00PM ET,DAL,3.147143552306103,0.0,4.720715328459154,100,0,0,0
DST,Colts  (40786163),Colts ,40786163,DST,3100,IND@DAL 11/17/2025 04:00PM ET,IND,-0.5222864396931648,0.0,-0.7834296595397472,100,0,0,0
WR,Romeo Doubs (40786090),Romeo Doubs,40786090,WR/FLEX,3100,HOU@GB 11/17/2025 02:00PM ET,GB,10.158606416279,0.0,15.2379096244185,100,0,0,0
RB,Miles Sanders (40786028),Miles Sanders,40786028,RB/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,DAL,-0.7306841138869209,0.0,-1.0960261708303813,100,0,0,0
RB,DJ Giddens (40786034),DJ Giddens,40786034,RB/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,IND,12.646233529977014,0.0,18.969350294965523,100,0,0,0
RB,Tyler Goodson (40786042),Tyler Goodson,40786042,RB/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,IND,12.776561732489812,0.0,19.16484259873472,100,0,0,0
RB,Hunter Luepke (40786046),Hunter Luepke,40786046,RB/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,DAL,14.205707417643318,0.0,21.308561126464976,100,0,0,0
RB,Will Mallory (40786050),Will Mallory,40786050,RB/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,IND,13.002775386996545,0.0,19.504163080494816,100,0,0,0
WR,KaVontae Turpin (40786094),KaVontae Turpin,40786094,WR/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,DAL,-0.5961917644330705,0.0,-0.8942876466496058,100,0,0,0
WR,Adonai Mitchell (40786098),Adonai Mitchell,40786098,WR/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,IND,9.248399829220672,0.0,13.872599743831007,100,0,0,0
WR,Jonathan Mingo (40786106),Jonathan Mingo,40786106,WR/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,DAL,9.228145890578311,0.0,13.842218835867467,100,0,0,0
WR,Ashton Dulin (40786108),Ashton Dulin,40786108,WR/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,IND,9.273087746817977,0.0,13.909631620226964,100,0,0,0
WR,Anthony Gould (40786118),Anthony Gould,40786118,WR/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,IND,9.347151499609875,0.0,14.020727249414813,100,0,0,0
WR,Ryan Flournoy (40786122),Ryan Flournoy,40786122,WR/FLEX,3000,IND@DAL 11/17/2025 04:00PM ET,DAL,9.550849640410448,0.0,14.326274460615672,100,0,0,0
RB,Nick Chubb (40786026),Nick Chubb,40786026,RB/FLEX,3000,HOU@GB 11/17/2025 02:00PM ET,HOU,14.541083293097827,0.0,21.81162493964674,100,0,0,0
RB,MarShawn Lloyd (40786032),MarShawn Lloyd,40786032,RB/FLEX,3000,HOU@GB 11/17/2025 02:00PM ET,GB,11.600145578114128,0.0,17.400218367171192,100,0,0,0
RB,Woody Marks (40786040),Woody Marks,40786040,RB/FLEX,3000,HOU@GB 11/17/2025 02:00PM ET,HOU,13.599240875483485,0.0,20.398861313225225,100,0,0,0
RB,Chris Brooks (40786044),Chris Brooks,40786044,RB/FLEX,3000,HOU@GB 11/17/2025 02:00PM ET,GB,12.382114793190915,0.0,18.573172189786373,100,0,0,0
RB,Dameon Pierce (40786048),Dameon Pierce,40786048,RB/FLEX,3000,HOU@GB 11/17/2025 02:00PM ET,HOU,13.280260626114217,0.0,19.920390939171327,100,0,0,0
RB,Ben Sims (40786052),Ben Sims,40786052,RB/FLEX,3000,HOU@GB 11/17/2025 02:00PM ET,GB,12.6328098396961,0.0,18.949214759544148,100,0,0,0
WR,Jayden Higgins (40786096),Jayden Higgins,40786096,WR/FLEX,3000,HOU@GB 11/17/2025 02:00PM ET,HOU,9.991677610214,0.0,14.987516415321,100,0,0,0
WR,Dontayvion Wicks (40786104),Dontayvion Wicks,40786104,WR/FLEX,3000,HOU@GB 11/17/2025 02:00PM ET,GB,9.361941945538298,0.0,14.042912918307447,100,0,0,0
