Player,TeamAbbrev,Position,Salary,Opponent,IsHome,PredFPTS,BaseValue,StackBonus,Scarcity,OwnershipLeverage,StackRate,QBStackRate,BringBackRate,RBDSTRate,LowVarBonus,MaddenEdge
Michael Wilson,ARI,WR,3400,JAX,0.0,11.165181612060058,3.2838769447235467,1.0,1.0102987298974575,1.0,0.0,0.0,0.0,0.0,0.0,6.635393412787485
Jaguars,JAX,DST,3000,ARI,1.0,4.3676709057398035,1.4558903019132678,1.7077272727272728,1.0102987298974575,1.0,0.8181818181818182,0.9090909090909091,0.0,0.045454545454545456,0.0,5.023737863371821
George Kittle,SF,TE,4000,HOU,0.0,13.041413239035522,3.2603533097588806,1.7890350877192982,0.9148589038612605,-0.09916559691912703,0.6754385964912281,0.6403508771929824,0.0,0.4298245614035088,0.1,4.807093908228573
Jacoby Brissett,ARI,QB,5000,JAX,0.0,10.409051213912557,2.0818102427825114,1.0,1.0102987298974575,1.0,0.0,0.0,0.0,0.0,0.0,4.206500488341378
Dameon Pierce,HOU,RB,3000,SF,1.0,11.897110358798114,3.9657034529327047,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,4.042694441301839
Woody Marks,HOU,RB,3000,SF,1.0,11.628258030814989,3.876086010271663,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,3.9513371470438536
Cole Kmet,CHI,TE,4100,GB,1.0,4.39132989653478,1.071056072325556,1.8453846153846154,0.9148589038612605,1.0,0.9230769230769231,0.9230769230769231,0.0,0.2692307692307692,0.0,3.6164562725227545
Emari Demercado,ARI,RB,3000,JAX,0.0,5.234852688215716,1.7449508960719051,1.0,1.0194142071596901,1.0,0.0,0.0,0.0,0.0,0.0,3.557655468503464
Tank Bigsby,JAX,RB,3000,ARI,1.0,9.896916452042532,3.298972150680844,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,3.36301907942821
Trey McBride,ARI,TE,5600,JAX,0.0,13.325153439595057,2.3794916856419746,1.0,0.9148589038612605,0.5233436186872994,0.0,0.0,0.0,0.0,0.0,3.316165436711506
Nico Collins,HOU,WR,6500,SF,1.0,6.86522190973375,1.0561879861128847,1.509936305732484,1.0102987298974575,1.0,0.6369426751592356,0.5987261146496815,0.0,0.07643312101910828,0.0,3.222401518430802
Marvin Harrison Jr.,ARI,WR,5000,JAX,0.0,7.829042188407232,1.5658084376814465,1.0,1.0102987298974575,1.0,0.0,0.0,0.0,0.0,0.0,3.1638685517045753
Luther Burden III,CHI,WR,3900,GB,1.0,6.449487221970763,1.6537146723001956,1.7421052631578946,1.0102987298974575,0.08100128369704754,0.8,0.9052631578947369,0.0,0.2,0.0,3.14637866932194
Ben Sims,GB,RB,3000,CHI,0.0,8.805370872567229,2.9351236241890764,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,2.9921067222683835
Brian Robinson Jr.,SF,RB,3000,HOU,0.0,8.292381723605793,2.764127241201931,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,2.817790580078368
Kyle Juszczyk,SF,RB,3000,HOU,0.0,8.267940602880055,2.755980200960018,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,2.80948537150946
Bhayshul Tuten,JAX,RB,3000,ARI,1.0,8.08012647809597,2.6933754926986566,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,2.745665242472741
Chris Brooks,GB,RB,3000,CHI,0.0,7.844020124021515,2.6146733746738384,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,2.6654351852246823
MarShawn Lloyd,GB,RB,3000,CHI,0.0,7.844020124021515,2.6146733746738384,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,2.6654351852246823
Case Keenum,CHI,QB,5000,GB,1.0,13.061521490687046,2.612304298137409,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.6392077145138932
James Conner,ARI,RB,6900,JAX,0.0,17.590086862805308,2.549287951131204,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,2.598780355524167
Isaac Guerendo,SF,RB,3000,HOU,0.0,7.2169724116733,2.4056574705577667,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,2.452361403046431
Dontayvion Wicks,GB,WR,3000,CHI,0.0,7.238988594524988,2.412996198174996,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.4378469942635923
Nick Mullens,JAX,QB,5000,ARI,1.0,11.664902865723839,2.3329805731447677,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.3570073099236013
Savion Williams,GB,WR,3000,CHI,0.0,6.8291764054797035,2.276392135159901,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.2998360829006095
Cardinals,ARI,DST,3200,JAX,0.0,3.624138852429388,1.1325433913841838,1.0,1.0102987298974575,1.0,0.0,0.0,0.0,0.0,0.0,2.2884142997384
Dyami Brown,JAX,WR,3000,ARI,1.0,6.704079389198231,2.2346931297327437,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.2577076306795654
Parker Washington,JAX,WR,3000,ARI,1.0,6.704079389198231,2.2346931297327437,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.2577076306795654
Olamide Zaccheaus,CHI,WR,3000,GB,1.0,6.65937582081404,2.2197919402713464,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.242652977892754
Devin Duvernay,CHI,WR,3000,GB,1.0,6.5998869546623045,2.199962318220768,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.2226191359207084
Jacob Cowing,SF,WR,3000,HOU,0.0,6.540204617837878,2.1800682059459593,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.2025201395570315
Jordan Watkins,SF,WR,3000,HOU,0.0,6.540204617837878,2.1800682059459593,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.2025201395570315
Skyy Moore,SF,WR,3000,HOU,0.0,6.540204617837878,2.1800682059459593,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.2025201395570315
Xavier Hutchinson,HOU,WR,3000,SF,1.0,6.293304700267367,2.097768233422456,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.11937258184594
Jayden Higgins,HOU,WR,3000,SF,1.0,6.293304700267367,2.097768233422456,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.11937258184594
Jaylin Noel,HOU,WR,3000,SF,1.0,6.293304700267367,2.097768233422456,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.11937258184594
Davis Mills,HOU,QB,5000,SF,1.0,10.112136411167771,2.0224272822335543,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,2.0432557145505266
Tip Reiman,ARI,TE,2500,JAX,0.0,5.493442471764986,2.197376988705994,1.0,0.9148589038612605,0.0,0.0,0.0,0.0,0.0,0.0,2.010289903257523
Roschon Johnson,CHI,RB,3000,GB,1.0,5.562849528226694,1.8542831760755647,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,1.890282613788624
Mac Jones,SF,QB,5000,HOU,0.0,7.995170558561521,1.5990341117123041,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,1.61550213212565
Kyle Monangai,CHI,RB,3000,GB,1.0,4.74814550403541,1.5827151680118032,1.0,1.0194142071596901,0.0,0.0,0.0,0.0,0.0,0.0,1.613442328158368
Luke Farrell,SF,TE,2500,HOU,0.0,3.8702032061077567,1.5480812824431027,1.0,0.9148589038612605,0.0,0.0,0.0,0.0,0.0,0.0,1.4162759451440312
Jake Tonges,SF,TE,2500,HOU,0.0,3.568470084028057,1.4273880336112228,1.0,0.9148589038612605,0.0,0.0,0.0,0.0,0.0,0.0,1.3058586518142432
Malik Willis,GB,QB,5000,CHI,0.0,6.271314056409475,1.2542628112818948,1.0,1.0102987298974575,0.0,0.0,0.0,0.0,0.0,0.0,1.2671801251957127
49ers,SF,DST,2900,HOU,0.0,1.0983342292211082,0.378735941110727,1.7058333333333333,1.0102987298974575,0.9017615176151763,0.8055555555555556,0.5462962962962963,0.0,0.5,0.0,1.2413063564860556
Luke Musgrave,GB,TE,2500,CHI,0.0,3.3704996045768585,1.3481998418307433,1.0,0.9148589038612605,0.0,0.0,0.0,0.0,0.0,0.0,1.2334126294831984
Cade Stover,HOU,TE,2500,SF,1.0,3.1962948237206206,1.278517929488248,1.0,0.9148589038612605,0.0,0.0,0.0,0.0,0.0,0.0,1.169663511538587
Harrison Bryant,HOU,TE,2500,SF,1.0,3.0831449029407327,1.233257961176293,1.0,0.9148589038612605,0.0,0.0,0.0,0.0,0.0,0.0,1.1282570265399163
Johnny Mundt,JAX,TE,2500,ARI,1.0,3.0680105400867266,1.2272042160346905,1.0,0.9148589038612605,0.0,0.0,0.0,0.0,0.0,0.0,1.1227187038954145
John FitzPatrick,GB,TE,2500,CHI,0.0,2.9631598897692637,1.1852639559077054,1.0,0.9148589038612605,0.0,0.0,0.0,0.0,0.0,0.0,1.0843492834879846
Hunter Long,JAX,TE,2500,ARI,1.0,2.8567973546309364,1.1427189418523747,1.0,0.9148589038612605,0.0,0.0,0.0,0.0,0.0,0.0,1.045426598564563
Romeo Doubs,GB,WR,3100,CHI,0.0,11.52887327822352,3.718991380072103,2.19,1.0102987298974575,-0.9,1.0,1.0,0.0,1.0,0.0,0.8228470066452299
Brock Purdy,SF,QB,5200,HOU,0.0,17.956205789550136,3.4531164979904108,1.9444827586206896,1.0102987298974575,-0.9,0.9655172413793104,0.9310344827586207,0.0,0.5172413793103449,0.0,0.6783676578301772
Zay Jones,ARI,WR,3200,JAX,0.0,13.570065333554885,4.240645416735902,1.0,1.0102987298974575,-0.8461496300356263,0.0,0.0,0.0,0.0,0.0,0.6591440137284641
Ricky Pearsall,SF,WR,3600,HOU,0.0,12.526308633237834,3.479530175899398,1.75,1.0102987298974575,-0.9,0.76,0.64,0.0,0.52,0.0,0.6151888605364316
Durham Smythe,CHI,TE,2500,GB,1.0,1.5967226704387052,0.6386890681754821,1.0,0.9148589038612605,0.0,0.0,0.0,0.0,0.0,0.0,0.5843103808191914
Tim Patrick,JAX,WR,3500,ARI,1.0,10.873424911343944,3.1066928318125555,1.6972727272727273,1.0102987298974575,-0.9,0.8181818181818182,0.6363636363636364,0.0,0.36363636363636365,0.0,0.5327209239978187
Brenton Strange,JAX,TE,3200,ARI,1.0,10.522900357534938,3.288406361729668,1.693103448275862,0.9148589038612605,-0.9,0.7586206896551724,0.8620689655172413,0.0,0.1724137931034483,0.0,0.5093579549018337
Joe Mixon,HOU,RB,6400,SF,1.0,19.78067406577525,3.090730322777383,1.6149473684210527,1.0194142071596901,-0.9,0.631578947368421,0.5263157894736842,0.0,0.1368421052631579,0.1,0.5088270230358309
