Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
34,4927122293,pickledeez,0,108.299995,DST Commanders  FLEX Tyler Warren QB Daniel Jones RB Jahmyr Gibbs RB Jonathan Taylor TE Sam LaPorta WR Terry McLaurin WR Amon-Ra St. Brown WR Tetairoa McMillan,,Chris Olave,WR,5.36%,14.3
35,4927202119,kahlil.gedin,0,107.240005,DST Commanders  FLEX Alec Pierce QB Jayden Daniels RB Jahmyr Gibbs RB Chuba Hubbard TE Sam LaPorta WR Terry McLaurin WR Jameson Williams WR Christian Watson,,Juwan Johnson,FLEX,3.57%,12
36,4927184164,will6972,0,107.03999,DST Lions  FLEX Ja'Tavion Sanders QB Jared Goff RB Jahmyr Gibbs RB Jonathan Taylor TE Tyler Warren WR Terry McLaurin WR Matthew Golden WR Alec Pierce,,Zach Ertz,TE,3.57%,1.6
37,4926915474,blomsak,0,106.439995,DST Lions  FLEX Matthew Golden QB Jayden Daniels RB Jahmyr Gibbs RB Austin Ekeler TE Ja'Tavion Sanders WR Terry McLaurin WR Jameson Williams WR Alec Pierce,,Brandin Cooks,FLEX,1.79%,0
38,4926997946,pgall33,0,106.04001,DST Saints  FLEX Romeo Doubs QB Jared Goff RB Jahmyr Gibbs RB Alvin Kamara TE Sam LaPorta WR Chris Olave WR Jameson Williams WR Jayden Reed,,Romeo Doubs,FLEX,1.79%,0
39,4927113211,puloking,0,104.54,DST Saints  FLEX Austin Ekeler QB Jayden Daniels RB Jahmyr Gibbs RB Jonathan Taylor TE Taysom Hill WR Terry McLaurin WR Amon-Ra St. Brown WR Josh Downs,,Colts ,DST,1.79%,11
40,4927091564,StevieG916,0,103.94,DST Commanders  FLEX Ja'Tavion Sanders QB Jayden Daniels RB Jahmyr Gibbs RB Josh Jacobs TE Sam LaPorta WR Matthew Golden WR Jameson Williams WR Christian Watson,,Josh Downs,WR,1.79%,1.8
41,4927015516,Demskins21,0,100.840004,DST Panthers  FLEX Sam LaPorta QB Jayden Daniels RB Jahmyr Gibbs RB Alvin Kamara TE Tyler Warren WR Deebo Samuel Sr. WR Christian Watson WR Tetairoa McMillan,,Taysom Hill,TE,1.79%,0
42,4927214677,cmiller0624,0,98.84,DST Saints  FLEX Sam LaPorta QB Jayden Daniels RB Jahmyr Gibbs RB Chuba Hubbard TE Tyler Warren WR Terry McLaurin WR Matthew Golden WR Noah Brown,,Spencer Rattler,QB,1.79%,19.02
43,4927207551,kayonas23,0,96.44,DST Panthers  FLEX Ja'Tavion Sanders QB Jayden Daniels RB Jahmyr Gibbs RB Chuba Hubbard TE Sam LaPorta WR Terry McLaurin WR Matthew Golden WR Christian Watson,,,
44,4926744903,DMIK,0,94.54,DST Lions  FLEX Brandin Cooks QB Jayden Daniels RB Jahmyr Gibbs RB Chuba Hubbard TE Sam LaPorta WR Terry McLaurin WR Amon-Ra St. Brown WR Tetairoa McMillan,,,
45,4927018688,Reggie10k,0,94.46,DST Packers  FLEX Jayden Reed QB Jordan Love RB Josh Jacobs RB Chuba Hubbard TE Tucker Kraft WR Michael Pittman Jr. WR Jameson Williams WR Christian Watson,,,
46,4927177784,CaptSkeeter,0,92.14,DST Commanders  FLEX Zach Ertz QB Jayden Daniels RB Jahmyr Gibbs RB Alvin Kamara TE Ja'Tavion Sanders WR Terry McLaurin WR Matthew Golden WR Rashid Shaheed,,,
47,4926894476,Jerry2044,0,91.560005,DST Packers  FLEX Tucker Kraft QB Jordan Love RB Josh Jacobs RB Jonathan Taylor TE Ja'Tavion Sanders WR Matthew Golden WR Michael Pittman Jr. WR Rashid Shaheed,,,
48,4927221004,Nitt.butt,0,90.439995,DST Packers  FLEX Ja'Tavion Sanders QB Jared Goff RB Josh Jacobs RB Jonathan Taylor TE Tyler Warren WR Amon-Ra St. Brown WR Deebo Samuel Sr. WR Christian Watson,,,
49,4926914337,davebla,0,87.340004,DST Panthers  FLEX Tucker Kraft QB Jayden Daniels RB Chuba Hubbard RB Austin Ekeler TE Sam LaPorta WR Terry McLaurin WR Amon-Ra St. Brown WR Michael Pittman Jr.,,,
50,4926867330,6ringslater,0,81.86,DST Packers  FLEX Austin Ekeler QB Jordan Love RB Alvin Kamara RB Jonathan Taylor TE Ja'Tavion Sanders WR Matthew Golden WR Jameson Williams WR Tetairoa McMillan,,,
51,4926777182,Charles05,0,76.64,DST Saints  FLEX Juwan Johnson QB Jayden Daniels RB Josh Jacobs RB Chuba Hubbard TE Sam LaPorta WR Terry McLaurin WR Matthew Golden WR Christian Watson,,,
52,4927082302,Aterzis1420,0,75.14,DST Panthers  FLEX Noah Brown QB Jayden Daniels RB Josh Jacobs RB Jonathan Taylor TE Sam LaPorta WR Terry McLaurin WR Christian Watson WR Tetairoa McMillan,,,
53,4927221611,darryel2,0,73.56,DST Lions  FLEX Tyler Warren QB Jordan Love RB Alvin Kamara RB Jonathan Taylor TE Tucker Kraft WR Jameson Williams WR Christian Watson WR Tetairoa McMillan,,,
54,4926989484,MySportsVice,0,73.03999,DST Saints  FLEX Sam LaPorta QB Jared Goff RB Josh Jacobs RB Jonathan Taylor TE Zach Ertz WR Terry McLaurin WR Amon-Ra St. Brown WR Tetairoa McMillan,,,
55,4927046530,harrga1,0,72.96,DST Commanders  FLEX Christian Watson QB Jordan Love RB Alvin Kamara RB Jonathan Taylor TE Ja'Tavion Sanders WR Terry McLaurin WR Jameson Williams WR Alec Pierce,,,
56,4926907602,Wfrazier,0,69.44,DST Lions  FLEX Tetairoa McMillan QB Jared Goff RB Alvin Kamara RB Josh Jacobs TE Sam LaPorta WR Deebo Samuel Sr. WR Jameson Williams WR Christian Watson,,,
